WEL,ISR,CE,burned,return,policy,ckpt_region,train_seed,eval_seed,episode,eval_region
0.0,1.0,0.9249448123620309,118,-0.4,commnet,saudi,42,42,0,saudi
13.0,0.5714285714285714,0.9315673289183224,224,-21.77142857142857,commnet,saudi,42,42,1,saudi
14.0,0.7142857142857143,0.9602649006622516,249,-19.91428571428571,commnet,saudi,42,42,2,saudi
19.0,0.5714285714285714,0.9470198675496688,249,-28.07142857142857,commnet,saudi,42,42,3,saudi
6.0,0.8571428571428571,0.9094922737306844,119,-9.357142857142858,commnet,saudi,42,42,4,saudi
10.0,0.7142857142857143,0.9536423841059604,338,-16.014285714285712,commnet,saudi,42,42,5,saudi
0.0,1.0,0.7218543046357616,167,-0.3,commnet,saudi,42,42,6,saudi
0.0,1.0,0.9668874172185432,131,-0.3,commnet,saudi,42,42,7,saudi
9.0,0.7142857142857143,0.9381898454746136,215,-14.914285714285713,commnet,saudi,42,42,8,saudi
10.0,0.7142857142857143,0.9536423841059604,410,-16.014285714285712,commnet,saudi,42,42,9,saudi
4.0,0.8571428571428571,0.9315673289183224,271,-7.357142857142858,commnet,saudi,42,42,10,saudi
0.0,1.0,0.9249448123620309,119,-0.4,commnet,saudi,42,42,11,saudi
4.0,0.8571428571428571,0.9315673289183224,461,-7.357142857142858,commnet,saudi,42,42,12,saudi
0.0,1.0,0.9183222958057397,347,-0.4,commnet,saudi,42,42,13,saudi
0.0,1.0,0.958057395143488,222,-0.3,commnet,saudi,42,42,14,saudi
9.0,0.7142857142857143,0.7637969094922737,343,-14.814285714285711,commnet,saudi,42,1042,0,saudi
4.0,0.8571428571428571,1.0,250,-6.857142857142858,commnet,saudi,42,1042,1,saudi
19.0,0.5714285714285714,0.9381898454746136,214,-27.77142857142857,commnet,saudi,42,1042,2,saudi
23.0,0.4285714285714285,0.6865342163355408,348,-34.628571428571426,commnet,saudi,42,1042,3,saudi
13.0,0.5714285714285714,0.8896247240618101,243,-21.77142857142857,commnet,saudi,42,1042,4,saudi
0.0,1.0,0.958057395143488,264,-0.3,commnet,saudi,42,1042,5,saudi
10.0,0.8571428571428571,0.9602649006622516,250,-13.157142857142857,commnet,saudi,42,1042,6,saudi
4.0,0.8571428571428571,0.6887417218543046,379,-7.257142857142858,commnet,saudi,42,1042,7,saudi
4.0,0.8571428571428571,0.9028697571743928,357,-7.357142857142858,commnet,saudi,42,1042,8,saudi
0.0,1.0,0.9072847682119204,299,-0.3,commnet,saudi,42,1042,9,saudi
10.0,0.8571428571428571,0.7019867549668874,243,-13.157142857142857,commnet,saudi,42,1042,10,saudi
8.0,0.7142857142857143,1.0,258,-13.714285714285714,commnet,saudi,42,1042,11,saudi
14.0,0.7142857142857143,0.8565121412803532,336,-19.91428571428571,commnet,saudi,42,1042,12,saudi
4.0,0.8571428571428571,0.9426048565121412,299,-7.1571428571428575,commnet,saudi,42,1042,13,saudi
10.0,0.7142857142857143,0.869757174392936,390,-16.014285714285712,commnet,saudi,42,1042,14,saudi
23.0,0.4285714285714285,0.6821192052980133,368,-34.528571428571425,commnet,saudi,42,2042,0,saudi
0.0,1.0,0.9271523178807948,126,-0.4000000000000003,commnet,saudi,42,2042,1,saudi
19.0,0.5714285714285714,0.6865342163355408,278,-27.77142857142857,commnet,saudi,42,2042,2,saudi
0.0,1.0,0.9668874172185432,248,-0.3,commnet,saudi,42,2042,3,saudi
10.0,0.7142857142857143,0.8300220750551877,424,-16.014285714285712,commnet,saudi,42,2042,4,saudi
6.0,0.8571428571428571,0.9867549668874172,293,-8.957142857142857,commnet,saudi,42,2042,5,saudi
14.0,0.7142857142857143,0.6843267108167771,365,-20.014285714285712,commnet,saudi,42,2042,6,saudi
0.0,1.0,0.958057395143488,333,-0.3,commnet,saudi,42,2042,7,saudi
13.0,0.5714285714285714,0.8896247240618101,242,-21.77142857142857,commnet,saudi,42,2042,8,saudi
4.0,0.8571428571428571,0.6887417218543046,357,-7.157142857142857,commnet,saudi,42,2042,9,saudi
13.0,0.5714285714285714,0.9050772626931568,197,-21.77142857142857,commnet,saudi,42,2042,10,saudi
