fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern
NF,,,,,41.421875,-124.414062,0,,,,,0,0,,,,,20,
NF,,,,,41.421875,-124.242188,0,,,,,0,0,,,,,20,
O1b,,,,,41.421875,-124.070312,91,,,,,12,86,,,0.35,60.0,20,
C3,,,,,41.421875,-123.898438,432,,,,,38,57,,,,,20,
C3,,,,,41.421875,-123.726562,961,,,,,41,102,,,,,20,
C3,,,,,41.421875,-123.554688,758,,,,,41,283,,,,,20,
C3,,,,,41.421875,-123.382812,959,,,,,49,51,,,,,20,
C3,,,,,41.421875,-123.210938,1497,,,,,50,113,,,,,20,
C5,,,,,41.421875,-123.039062,1610,,,,,49,45,,,,,20,
C5,,,,,41.421875,-122.867188,1098,,,,,23,245,,,,,20,
C5,,,,,41.421875,-122.695312,1375,,,,,29,87,,,,,20,
C7,,,,,41.421875,-122.523438,1532,,,,,32,205,,,,,20,
C7,,,,,41.421875,-122.351562,1279,,,,,14,106,,,,,20,
C7,,,,,41.421875,-122.179688,2296,,,,,27,221,,,,,20,
C5,,,,,41.421875,-122.007812,1645,,,,,16,332,,,,,20,
C5,,,,,41.421875,-121.835938,1549,,,,,11,331,,,,,20,
C5,,,,,41.421875,-121.664062,1425,,,,,5,348,,,,,20,
C5,,,,,41.421875,-121.492188,1401,,,,,5,345,,,,,20,
C5,,,,,41.421875,-121.320312,1338,,,,,2,91,,,,,20,
C7,,,,,41.421875,-121.148438,1446,,,,,8,60,,,,,20,
C7,,,,,41.421875,-120.976562,1448,,,,,13,256,,,,,20,
C7,,,,,41.421875,-120.804688,1417,,,,,9,205,,,,,20,
C7,,,,,41.421875,-120.632812,1369,,,,,6,213,,,,,20,
C7,,,,,41.421875,-120.460938,1428,,,,,4,103,,,,,20,
C7,,,,,41.421875,-120.289062,1978,,,,,19,110,,,,,20,
O1b,,,,,41.421875,-120.117188,1516,,,,,12,250,,,0.35,60.0,20,
O1b,,,,,41.421875,-119.945312,1701,,,,,12,101,,,0.35,60.0,20,
O1b,,,,,41.421875,-119.773438,1765,,,,,6,198,,,0.35,60.0,20,
O1b,,,,,41.421875,-119.601562,1844,,,,,9,37,,,0.35,60.0,20,
O1a,,,,,41.421875,-119.429688,1730,,,,,11,266,,,0.35,60.0,20,
O1a,,,,,41.421875,-119.257812,1725,,,,,13,332,,,0.35,60.0,20,
O1a,,,,,41.421875,-119.085938,1766,,,,,19,82,,,0.35,60.0,20,
NF,,,,,41.265625,-124.414062,0,,,,,0,0,,,,,20,
NF,,,,,41.265625,-124.242188,0,,,,,0,0,,,,,20,
C7,,,,,41.265625,-124.070312,140,,,,,17,108,,,,,20,
C3,,,,,41.265625,-123.898438,474,,,,,35,123,,,,,20,
C3,,,,,41.265625,-123.726562,647,,,,,33,334,,,,,20,
C3,,,,,41.265625,-123.554688,649,,,,,46,106,,,,,20,
C3,,,,,41.265625,-123.382812,1005,,,,,52,222,,,,,20,
C3,,,,,41.265625,-123.210938,1041,,,,,44,43,,,,,20,
C3,,,,,41.265625,-123.039062,1513,,,,,47,91,,,,,20,
C5,,,,,41.265625,-122.867188,1655,,,,,35,203,,,,,20,
C5,,,,,41.265625,-122.695312,1562,,,,,34,228,,,,,20,
C5,,,,,41.265625,-122.523438,1898,,,,,31,34,,,,,20,
C5,,,,,41.265625,-122.351562,1318,,,,,28,275,,,,,20,
C5,,,,,41.265625,-122.179688,1264,,,,,18,359,,,,,20,
C3,,,,,41.265625,-122.007812,1141,,,,,8,74,,,,,20,
C3,,,,,41.265625,-121.835938,1333,,,,,11,82,,,,,20,
C5,,,,,41.265625,-121.664062,1272,,,,,7,289,,,,,20,
C5,,,,,41.265625,-121.492188,1239,,,,,8,28,,,,,20,
C5,,,,,41.265625,-121.320312,1359,,,,,10,116,,,,,20,
C7,,,,,41.265625,-121.148438,1321,,,,,6,59,,,,,20,
C7,,,,,41.265625,-120.976562,1470,,,,,15,335,,,,,20,
C5,,,,,41.265625,-120.804688,1729,,,,,17,94,,,,,20,
C7,,,,,41.265625,-120.632812,1604,,,,,9,229,,,,,20,
C7,,,,,41.265625,-120.460938,1453,,,,,5,99,,,,,20,
C5,,,,,41.265625,-120.289062,1913,,,,,17,77,,,,,20,
C7,,,,,41.265625,-120.117188,1834,,,,,19,260,,,,,20,
O1b,,,,,41.265625,-119.945312,1800,,,,,15,72,,,0.35,60.0,20,
O1b,,,,,41.265625,-119.773438,1856,,,,,12,304,,,0.35,60.0,20,
O1b,,,,,41.265625,-119.601562,1818,,,,,9,317,,,0.35,60.0,20,
O1b,,,,,41.265625,-119.429688,1773,,,,,12,251,,,0.35,60.0,20,
O1a,,,,,41.265625,-119.257812,1576,,,,,16,245,,,0.35,60.0,20,
O1a,,,,,41.265625,-119.085938,1633,,,,,18,43,,,0.35,60.0,20,
NF,,,,,41.109375,-124.414062,0,,,,,0,0,,,,,20,
NF,,,,,41.109375,-124.242188,1,,,,,0,0,,,,,20,
C5,,,,,41.109375,-124.070312,249,,,,,19,77,,,,,20,
C3,,,,,41.109375,-123.898438,544,,,,,31,83,,,,,20,
C3,,,,,41.109375,-123.726562,528,,,,,36,201,,,,,20,
C3,,,,,41.109375,-123.554688,1081,,,,,41,88,,,,,20,
C3,,,,,41.109375,-123.382812,1310,,,,,48,276,,,,,20,
C3,,,,,41.109375,-123.210938,1296,,,,,45,180,,,,,20,
C5,,,,,41.109375,-123.039062,1453,,,,,43,111,,,,,20,
C5,,,,,41.109375,-122.867188,1761,,,,,39,259,,,,,20,
C5,,,,,41.109375,-122.695312,1307,,,,,38,343,,,,,20,
C5,,,,,41.109375,-122.523438,1574,,,,,32,8,,,,,20,
C3,,,,,41.109375,-122.351562,1021,,,,,38,304,,,,,20,
C3,,,,,41.109375,-122.179688,993,,,,,42,265,,,,,20,
C3,,,,,41.109375,-122.007812,1131,,,,,36,346,,,,,20,
C3,,,,,41.109375,-121.835938,1270,,,,,27,50,,,,,20,
C3,,,,,41.109375,-121.664062,1219,,,,,14,303,,,,,20,
C5,,,,,41.109375,-121.492188,1052,,,,,4,292,,,,,20,
C5,,,,,41.109375,-121.320312,1227,,,,,11,60,,,,,20,
C7,,,,,41.109375,-121.148438,1291,,,,,4,253,,,,,20,
C7,,,,,41.109375,-120.976562,1409,,,,,9,157,,,,,20,
C7,,,,,41.109375,-120.804688,1620,,,,,15,92,,,,,20,
C7,,,,,41.109375,-120.632812,1771,,,,,12,63,,,,,20,
C7,,,,,41.109375,-120.460938,1729,,,,,11,224,,,,,20,
C5,,,,,41.109375,-120.289062,1910,,,,,13,93,,,,,20,
C7,,,,,41.109375,-120.117188,2034,,,,,18,288,,,,,20,
O1b,,,,,41.109375,-119.945312,1611,,,,,11,297,,,0.35,60.0,20,
O1b,,,,,41.109375,-119.773438,1726,,,,,12,64,,,0.35,60.0,20,
O1b,,,,,41.109375,-119.601562,1800,,,,,10,206,,,0.35,60.0,20,
O1b,,,,,41.109375,-119.429688,1864,,,,,16,273,,,0.35,60.0,20,
O1a,,,,,41.109375,-119.257812,1847,,,,,23,276,,,0.35,60.0,20,
O1a,,,,,41.109375,-119.085938,1249,,,,,5,298,,,0.35,60.0,20,
NF,,,,,40.953125,-124.414062,0,,,,,0,0,,,,,20,
NF,,,,,40.953125,-124.242188,0,,,,,0,0,,,,,20,
C5,,,,,40.953125,-124.070312,92,,,,,10,85,,,,,20,
C3,,,,,40.953125,-123.898438,509,,,,,28,99,,,,,20,
C3,,,,,40.953125,-123.726562,772,,,,,37,221,,,,,20,
C3,,,,,40.953125,-123.554688,676,,,,,42,70,,,,,20,
C3,,,,,40.953125,-123.382812,1006,,,,,48,2,,,,,20,
C3,,,,,40.953125,-123.210938,1344,,,,,48,11,,,,,20,
C5,,,,,40.953125,-123.039062,1749,,,,,54,35,,,,,20,
C5,,,,,40.953125,-122.867188,1681,,,,,40,343,,,,,20,
C3,,,,,40.953125,-122.695312,944,,,,,27,322,,,,,20,
C5,,,,,40.953125,-122.523438,1067,,,,,39,303,,,,,20,
C3,,,,,40.953125,-122.351562,706,,,,,39,38,,,,,20,
C3,,,,,40.953125,-122.179688,786,,,,,43,332,,,,,20,
C3,,,,,40.953125,-122.007812,764,,,,,32,358,,,,,20,
C3,,,,,40.953125,-121.835938,1103,,,,,24,118,,,,,20,
C5,,,,,40.953125,-121.664062,986,,,,,10,262,,,,,20,
C5,,,,,40.953125,-121.492188,1044,,,,,9,108,,,,,20,
C7,,,,,40.953125,-121.320312,1165,,,,,8,143,,,,,20,
C7,,,,,40.953125,-121.148438,1423,,,,,12,99,,,,,20,
C7,,,,,40.953125,-120.976562,1626,,,,,9,44,,,,,20,
C7,,,,,40.953125,-120.804688,1762,,,,,13,114,,,,,20,
C7,,,,,40.953125,-120.632812,1700,,,,,9,301,,,,,20,
C7,,,,,40.953125,-120.460938,1744,,,,,9,77,,,,,20,
C7,,,,,40.953125,-120.289062,1762,,,,,7,324,,,,,20,
C7,,,,,40.953125,-120.117188,1837,,,,,12,66,,,,,20,
O1b,,,,,40.953125,-119.945312,1723,,,,,9,208,,,0.35,60.0,20,
O1a,,,,,40.953125,-119.773438,1570,,,,,7,182,,,0.35,60.0,20,
O1b,,,,,40.953125,-119.601562,1813,,,,,14,64,,,0.35,60.0,20,
O1b,,,,,40.953125,-119.429688,1613,,,,,18,276,,,0.35,60.0,20,
O1a,,,,,40.953125,-119.257812,1390,,,,,12,355,,,0.35,60.0,20,
NF,,,,,40.953125,-119.085938,1200,,,,,1,311,,,,,20,
NF,,,,,40.796875,-124.414062,0,,,,,0,0,,,,,20,
O1a,,,,,40.796875,-124.242188,4,,,,,1,125,,,0.35,60.0,20,
C5,,,,,40.796875,-124.070312,144,,,,,16,113,,,,,20,
C3,,,,,40.796875,-123.898438,451,,,,,27,105,,,,,20,
C3,,,,,40.796875,-123.726562,1009,,,,,35,153,,,,,20,
C3,,,,,40.796875,-123.554688,739,,,,,38,217,,,,,20,
C3,,,,,40.796875,-123.382812,929,,,,,48,185,,,,,20,
C3,,,,,40.796875,-123.210938,922,,,,,47,352,,,,,20,
C3,,,,,40.796875,-123.039062,1051,,,,,46,53,,,,,20,
C3,,,,,40.796875,-122.867188,913,,,,,28,300,,,,,20,
C5,,,,,40.796875,-122.695312,944,,,,,36,333,,,,,20,
C5,,,,,40.796875,-122.523438,854,,,,,43,295,,,,,20,
C5,,,,,40.796875,-122.351562,426,,,,,25,331,,,,,20,
C3,,,,,40.796875,-122.179688,512,,,,,30,15,,,,,20,
C3,,,,,40.796875,-122.007812,596,,,,,25,83,,,,,20,
C3,,,,,40.796875,-121.835938,1313,,,,,19,99,,,,,20,
C5,,,,,40.796875,-121.664062,1439,,,,,15,182,,,,,20,
C5,,,,,40.796875,-121.492188,1249,,,,,13,194,,,,,20,
C7,,,,,40.796875,-121.320312,1559,,,,,6,123,,,,,20,
C5,,,,,40.796875,-121.148438,1726,,,,,11,178,,,,,20,
C7,,,,,40.796875,-120.976562,1760,,,,,12,140,,,,,20,
C7,,,,,40.796875,-120.804688,1799,,,,,9,273,,,,,20,
C7,,,,,40.796875,-120.632812,1742,,,,,9,145,,,,,20,
O1b,,,,,40.796875,-120.460938,1724,,,,,8,226,,,0.35,60.0,20,
O1b,,,,,40.796875,-120.289062,1697,,,,,5,137,,,0.35,60.0,20,
O1b,,,,,40.796875,-120.117188,1758,,,,,9,93,,,0.35,60.0,20,
O1b,,,,,40.796875,-119.945312,1779,,,,,8,328,,,0.35,60.0,20,
O1b,,,,,40.796875,-119.773438,1711,,,,,15,67,,,0.35,60.0,20,
O1b,,,,,40.796875,-119.601562,1659,,,,,14,288,,,0.35,60.0,20,
O1b,,,,,40.796875,-119.429688,1707,,,,,25,347,,,0.35,60.0,20,
O1a,,,,,40.796875,-119.257812,1226,,,,,5,265,,,0.35,60.0,20,
NF,,,,,40.796875,-119.085938,1252,,,,,4,154,,,,,20,
NF,,,,,40.640625,-124.414062,1,,,,,0,0,,,,,20,
C7,,,,,40.640625,-124.242188,34,,,,,6,120,,,,,20,
C3,,,,,40.640625,-124.070312,279,,,,,24,84,,,,,20,
C3,,,,,40.640625,-123.898438,577,,,,,30,88,,,,,20,
C3,,,,,40.640625,-123.726562,967,,,,,28,83,,,,,20,
C3,,,,,40.640625,-123.554688,1007,,,,,32,227,,,,,20,
C3,,,,,40.640625,-123.382812,915,,,,,33,55,,,,,20,
C3,,,,,40.640625,-123.210938,1086,,,,,38,56,,,,,20,
C3,,,,,40.640625,-123.039062,954,,,,,36,251,,,,,20,
C3,,,,,40.640625,-122.867188,840,,,,,33,146,,,,,20,
C5,,,,,40.640625,-122.695312,988,,,,,36,202,,,,,20,
C5,,,,,40.640625,-122.523438,528,,,,,27,290,,,,,20,
C7,,,,,40.640625,-122.351562,232,,,,,8,353,,,,,20,
C7,,,,,40.640625,-122.179688,233,,,,,9,22,,,,,20,
C5,,,,,40.640625,-122.007812,481,,,,,13,68,,,,,20,
C3,,,,,40.640625,-121.835938,1058,,,,,18,67,,,,,20,
C3,,,,,40.640625,-121.664062,1731,,,,,17,64,,,,,20,
C5,,,,,40.640625,-121.492188,1637,,,,,14,229,,,,,20,
C7,,,,,40.640625,-121.320312,1743,,,,,10,141,,,,,20,
C5,,,,,40.640625,-121.148438,1812,,,,,9,180,,,,,20,
C5,,,,,40.640625,-120.976562,1814,,,,,9,137,,,,,20,
C7,,,,,40.640625,-120.804688,1663,,,,,9,265,,,,,20,
C7,,,,,40.640625,-120.632812,1720,,,,,13,31,,,,,20,
O1b,,,,,40.640625,-120.460938,1622,,,,,11,326,,,0.35,60.0,20,
O1b,,,,,40.640625,-120.289062,1618,,,,,11,11,,,0.35,60.0,20,
O1b,,,,,40.640625,-120.117188,1651,,,,,13,320,,,0.35,60.0,20,
O1b,,,,,40.640625,-119.945312,1581,,,,,15,344,,,0.35,60.0,20,
O1a,,,,,40.640625,-119.773438,1367,,,,,12,343,,,0.35,60.0,20,
O1a,,,,,40.640625,-119.601562,1282,,,,,7,317,,,0.35,60.0,20,
O1a,,,,,40.640625,-119.429688,1237,,,,,7,345,,,0.35,60.0,20,
O1a,,,,,40.640625,-119.257812,1401,,,,,12,143,,,0.35,60.0,20,
O1a,,,,,40.640625,-119.085938,1559,,,,,10,111,,,0.35,60.0,20,
O1b,,,,,40.484375,-124.414062,78,,,,,9,111,,,0.35,60.0,20,
C3,,,,,40.484375,-124.242188,325,,,,,30,191,,,,,20,
C3,,,,,40.484375,-124.070312,243,,,,,26,175,,,,,20,
C3,,,,,40.484375,-123.898438,443,,,,,28,45,,,,,20,
C3,,,,,40.484375,-123.726562,722,,,,,27,53,,,,,20,
C3,,,,,40.484375,-123.554688,1060,,,,,28,68,,,,,20,
C3,,,,,40.484375,-123.382812,1101,,,,,30,131,,,,,20,
C3,,,,,40.484375,-123.210938,1012,,,,,23,228,,,,,20,
C3,,,,,40.484375,-123.039062,1175,,,,,34,106,,,,,20,
C3,,,,,40.484375,-122.867188,1048,,,,,42,342,,,,,20,
C5,,,,,40.484375,-122.695312,732,,,,,28,325,,,,,20,
C7,,,,,40.484375,-122.523438,317,,,,,12,318,,,,,20,
C7,,,,,40.484375,-122.351562,172,,,,,4,260,,,,,20,
C7,,,,,40.484375,-122.179688,177,,,,,5,81,,,,,20,
C7,,,,,40.484375,-122.007812,473,,,,,12,76,,,,,20,
C5,,,,,40.484375,-121.835938,970,,,,,10,68,,,,,20,
C5,,,,,40.484375,-121.664062,1534,,,,,12,103,,,,,20,
C7,,,,,40.484375,-121.492188,2135,,,,,23,209,,,,,20,
C7,,,,,40.484375,-121.320312,2025,,,,,16,43,,,,,20,
C7,,,,,40.484375,-121.148438,1976,,,,,10,278,,,,,20,
C5,,,,,40.484375,-120.976562,1763,,,,,5,22,,,,,20,
C5,,,,,40.484375,-120.804688,1780,,,,,13,345,,,,,20,
C7,,,,,40.484375,-120.632812,1580,,,,,14,310,,,,,20,
O1b,,,,,40.484375,-120.460938,1449,,,,,10,354,,,0.35,60.0,20,
O1b,,,,,40.484375,-120.289062,1424,,,,,8,252,,,0.35,60.0,20,
O1b,,,,,40.484375,-120.117188,1514,,,,,9,113,,,0.35,60.0,20,
O1a,,,,,40.484375,-119.945312,1526,,,,,14,246,,,0.35,60.0,20,
O1a,,,,,40.484375,-119.773438,1189,,,,,2,287,,,0.35,60.0,20,
O1a,,,,,40.484375,-119.601562,1469,,,,,18,135,,,0.35,60.0,20,
O1a,,,,,40.484375,-119.429688,1309,,,,,8,239,,,0.35,60.0,20,
O1a,,,,,40.484375,-119.257812,1587,,,,,15,163,,,0.35,60.0,20,
O1a,,,,,40.484375,-119.085938,1436,,,,,4,43,,,0.35,60.0,20,
O1b,,,,,40.328125,-124.414062,37,,,,,6,68,,,0.35,60.0,20,
C3,,,,,40.328125,-124.242188,353,,,,,35,60,,,,,20,
C3,,,,,40.328125,-124.070312,532,,,,,36,335,,,,,20,
C3,,,,,40.328125,-123.898438,345,,,,,30,204,,,,,20,
C3,,,,,40.328125,-123.726562,516,,,,,29,42,,,,,20,
C3,,,,,40.328125,-123.554688,1114,,,,,31,78,,,,,20,
C3,,,,,40.328125,-123.382812,1066,,,,,31,35,,,,,20,
C5,,,,,40.328125,-123.210938,1232,,,,,30,122,,,,,20,
C5,,,,,40.328125,-123.039062,1232,,,,,29,240,,,,,20,
C5,,,,,40.328125,-122.867188,780,,,,,29,249,,,,,20,
C7,,,,,40.328125,-122.695312,379,,,,,19,263,,,,,20,
C7,,,,,40.328125,-122.523438,228,,,,,9,254,,,,,20,
C7,,,,,40.328125,-122.351562,176,,,,,5,275,,,,,20,
C7,,,,,40.328125,-122.179688,161,,,,,7,104,,,,,20,
C7,,,,,40.328125,-122.007812,393,,,,,10,98,,,,,20,
C7,,,,,40.328125,-121.835938,795,,,,,19,87,,,,,20,
C5,,,,,40.328125,-121.664062,1527,,,,,20,60,,,,,20,
C5,,,,,40.328125,-121.492188,1640,,,,,21,6,,,,,20,
C7,,,,,40.328125,-121.320312,1604,,,,,13,332,,,,,20,
C7,,,,,40.328125,-121.148438,1569,,,,,8,24,,,,,20,
C5,,,,,40.328125,-120.976562,1637,,,,,10,20,,,,,20,
C5,,,,,40.328125,-120.804688,1749,,,,,22,167,,,,,20,
C7,,,,,40.328125,-120.632812,1636,,,,,17,215,,,,,20,
O1b,,,,,40.328125,-120.460938,1285,,,,,6,239,,,0.35,60.0,20,
O1b,,,,,40.328125,-120.289062,1242,,,,,2,16,,,0.35,60.0,20,
O1b,,,,,40.328125,-120.117188,1551,,,,,17,34,,,0.35,60.0,20,
O1a,,,,,40.328125,-119.945312,1486,,,,,12,314,,,0.35,60.0,20,
O1a,,,,,40.328125,-119.773438,1238,,,,,7,219,,,0.35,60.0,20,
O1a,,,,,40.328125,-119.601562,1522,,,,,20,40,,,0.35,60.0,20,
O1a,,,,,40.328125,-119.429688,1399,,,,,15,233,,,0.35,60.0,20,
O1a,,,,,40.328125,-119.257812,1443,,,,,11,33,,,0.35,60.0,20,
O1a,,,,,40.328125,-119.085938,1464,,,,,10,189,,,0.35,60.0,20,
NF,,,,,40.171875,-124.414062,1,,,,,0,0,,,,,20,
C7,,,,,40.171875,-124.242188,190,,,,,22,50,,,,,20,
C3,,,,,40.171875,-124.070312,404,,,,,37,41,,,,,20,
C3,,,,,40.171875,-123.898438,360,,,,,28,301,,,,,20,
C3,,,,,40.171875,-123.726562,467,,,,,29,159,,,,,20,
C3,,,,,40.171875,-123.554688,566,,,,,27,59,,,,,20,
C5,,,,,40.171875,-123.382812,872,,,,,28,347,,,,,20,
C5,,,,,40.171875,-123.210938,1164,,,,,33,84,,,,,20,
C5,,,,,40.171875,-123.039062,1524,,,,,35,132,,,,,20,
C5,,,,,40.171875,-122.867188,1315,,,,,38,260,,,,,20,
C7,,,,,40.171875,-122.695312,550,,,,,25,234,,,,,20,
C7,,,,,40.171875,-122.523438,267,,,,,10,271,,,,,20,
C7,,,,,40.171875,-122.351562,159,,,,,5,290,,,,,20,
C7,,,,,40.171875,-122.179688,111,,,,,4,33,,,,,20,
O1b,,,,,40.171875,-122.007812,342,,,,,16,73,,,0.35,60.0,20,
O1b,,,,,40.171875,-121.835938,694,,,,,24,76,,,0.35,60.0,20,
C7,,,,,40.171875,-121.664062,1122,,,,,28,50,,,,,20,
C5,,,,,40.171875,-121.492188,1608,,,,,26,96,,,,,20,
C7,,,,,40.171875,-121.320312,1674,,,,,18,250,,,,,20,
C7,,,,,40.171875,-121.148438,1423,,,,,19,76,,,,,20,
C5,,,,,40.171875,-120.976562,1523,,,,,22,328,,,,,20,
C5,,,,,40.171875,-120.804688,1522,,,,,29,56,,,,,20,
C5,,,,,40.171875,-120.632812,1754,,,,,20,308,,,,,20,
C7,,,,,40.171875,-120.460938,1687,,,,,15,226,,,,,20,
O1b,,,,,40.171875,-120.289062,1357,,,,,8,207,,,0.35,60.0,20,
O1a,,,,,40.171875,-120.117188,1236,,,,,1,184,,,0.35,60.0,20,
O1a,,,,,40.171875,-119.945312,1242,,,,,2,41,,,0.35,60.0,20,
O1a,,,,,40.171875,-119.773438,1341,,,,,14,207,,,0.35,60.0,20,
O1a,,,,,40.171875,-119.601562,1188,,,,,3,2,,,0.35,60.0,20,
O1a,,,,,40.171875,-119.429688,1566,,,,,26,318,,,0.35,60.0,20,
O1a,,,,,40.171875,-119.257812,1493,,,,,16,102,,,0.35,60.0,20,
O1a,,,,,40.171875,-119.085938,1645,,,,,16,277,,,0.35,60.0,20,
NF,,,,,40.015625,-124.414062,0,,,,,0,0,,,,,20,
NF,,,,,40.015625,-124.242188,0,,,,,0,0,,,,,20,
C7,,,,,40.015625,-124.070312,139,,,,,14,49,,,,,20,
C3,,,,,40.015625,-123.898438,357,,,,,29,135,,,,,20,
C3,,,,,40.015625,-123.726562,465,,,,,31,94,,,,,20,
C3,,,,,40.015625,-123.554688,569,,,,,31,197,,,,,20,
C5,,,,,40.015625,-123.382812,752,,,,,27,31,,,,,20,
C5,,,,,40.015625,-123.210938,1107,,,,,33,81,,,,,20,
C5,,,,,40.015625,-123.039062,1550,,,,,32,59,,,,,20,
C5,,,,,40.015625,-122.867188,1616,,,,,37,228,,,,,20,
C5,,,,,40.015625,-122.695312,1091,,,,,32,253,,,,,20,
C7,,,,,40.015625,-122.523438,286,,,,,13,262,,,,,20,
O1b,,,,,40.015625,-122.351562,157,,,,,5,268,,,0.35,60.0,20,
C7,,,,,40.015625,-122.179688,83,,,,,1,266,,,,,20,
O1b,,,,,40.015625,-122.007812,149,,,,,6,57,,,0.35,60.0,20,
O1b,,,,,40.015625,-121.835938,529,,,,,24,71,,,0.35,60.0,20,
C7,,,,,40.015625,-121.664062,993,,,,,27,78,,,,,20,
C5,,,,,40.015625,-121.492188,1583,,,,,20,74,,,,,20,
C5,,,,,40.015625,-121.320312,1551,,,,,36,310,,,,,20,
C5,,,,,40.015625,-121.148438,1419,,,,,38,206,,,,,20,
C5,,,,,40.015625,-120.976562,1280,,,,,28,29,,,,,20,
C5,,,,,40.015625,-120.804688,1585,,,,,30,146,,,,,20,
C5,,,,,40.015625,-120.632812,1770,,,,,27,114,,,,,20,
C7,,,,,40.015625,-120.460938,1777,,,,,13,69,,,,,20,
C7,,,,,40.015625,-120.289062,1948,,,,,20,185,,,,,20,
O1b,,,,,40.015625,-120.117188,1570,,,,,18,210,,,0.35,60.0,20,
O1b,,,,,40.015625,-119.945312,1574,,,,,17,136,,,0.35,60.0,20,
O1b,,,,,40.015625,-119.773438,1914,,,,,27,222,,,0.35,60.0,20,
O1a,,,,,40.015625,-119.601562,1244,,,,,7,252,,,0.35,60.0,20,
O1a,,,,,40.015625,-119.429688,1360,,,,,17,358,,,0.35,60.0,20,
O1a,,,,,40.015625,-119.257812,1488,,,,,15,81,,,0.35,60.0,20,
O1a,,,,,40.015625,-119.085938,1565,,,,,8,300,,,0.35,60.0,20,
NF,,,,,39.859375,-124.414062,0,,,,,0,0,,,,,20,
NF,,,,,39.859375,-124.242188,0,,,,,0,0,,,,,20,
NF,,,,,39.859375,-124.070312,0,,,,,0,0,,,,,20,
C7,,,,,39.859375,-123.898438,141,,,,,18,53,,,,,20,
C3,,,,,39.859375,-123.726562,502,,,,,35,92,,,,,20,
C3,,,,,39.859375,-123.554688,777,,,,,32,212,,,,,20,
C3,,,,,39.859375,-123.382812,727,,,,,29,162,,,,,20,
C3,,,,,39.859375,-123.210938,748,,,,,22,13,,,,,20,
C5,,,,,39.859375,-123.039062,1125,,,,,33,69,,,,,20,
C5,,,,,39.859375,-122.867188,1352,,,,,33,300,,,,,20,
C5,,,,,39.859375,-122.695312,1018,,,,,31,281,,,,,20,
O1b,,,,,39.859375,-122.523438,258,,,,,11,280,,,0.35,60.0,20,
O1b,,,,,39.859375,-122.351562,153,,,,,5,268,,,0.35,60.0,20,
C7,,,,,39.859375,-122.179688,80,,,,,1,276,,,,,20,
C7,,,,,39.859375,-122.007812,58,,,,,1,37,,,,,20,
O1b,,,,,39.859375,-121.835938,234,,,,,13,56,,,0.35,60.0,20,
C5,,,,,39.859375,-121.664062,625,,,,,25,44,,,,,20,
C3,,,,,39.859375,-121.492188,1008,,,,,28,25,,,,,20,
C5,,,,,39.859375,-121.320312,1297,,,,,37,82,,,,,20,
C5,,,,,39.859375,-121.148438,1596,,,,,27,331,,,,,20,
C3,,,,,39.859375,-120.976562,1501,,,,,33,155,,,,,20,
C3,,,,,39.859375,-120.804688,1522,,,,,29,183,,,,,20,
C5,,,,,39.859375,-120.632812,1746,,,,,23,29,,,,,20,
C5,,,,,39.859375,-120.460938,1714,,,,,16,319,,,,,20,
C7,,,,,39.859375,-120.289062,1729,,,,,15,357,,,,,20,
C7,,,,,39.859375,-120.117188,1692,,,,,17,331,,,,,20,
O1b,,,,,39.859375,-119.945312,1650,,,,,17,145,,,0.35,60.0,20,
O1b,,,,,39.859375,-119.773438,1608,,,,,16,303,,,0.35,60.0,20,
O1a,,,,,39.859375,-119.601562,1492,,,,,19,160,,,0.35,60.0,20,
O1a,,,,,39.859375,-119.429688,1346,,,,,11,214,,,0.35,60.0,20,
O1a,,,,,39.859375,-119.257812,1452,,,,,14,92,,,0.35,60.0,20,
O1a,,,,,39.859375,-119.085938,1451,,,,,11,268,,,0.35,60.0,20,
NF,,,,,39.703125,-124.414062,0,,,,,0,0,,,,,20,
NF,,,,,39.703125,-124.242188,0,,,,,0,0,,,,,20,
NF,,,,,39.703125,-124.070312,0,,,,,0,0,,,,,20,
O1a,,,,,39.703125,-123.898438,7,,,,,2,80,,,0.35,60.0,20,
C3,,,,,39.703125,-123.726562,379,,,,,33,62,,,,,20,
C3,,,,,39.703125,-123.554688,656,,,,,26,44,,,,,20,
C3,,,,,39.703125,-123.382812,683,,,,,31,37,,,,,20,
C5,,,,,39.703125,-123.210938,632,,,,,21,211,,,,,20,
C5,,,,,39.703125,-123.039062,1094,,,,,32,103,,,,,20,
C5,,,,,39.703125,-122.867188,1456,,,,,33,173,,,,,20,
C5,,,,,39.703125,-122.695312,918,,,,,34,263,,,,,20,
O1b,,,,,39.703125,-122.523438,307,,,,,16,265,,,0.35,60.0,20,
O1b,,,,,39.703125,-122.351562,155,,,,,7,273,,,0.35,60.0,20,
C7,,,,,39.703125,-122.179688,66,,,,,0,0,,,,,20,
C5,,,,,39.703125,-122.007812,44,,,,,1,304,,,,,20,
C7,,,,,39.703125,-121.835938,61,,,,,1,60,,,,,20,
C7,,,,,39.703125,-121.664062,239,,,,,15,43,,,,,20,
C5,,,,,39.703125,-121.492188,550,,,,,27,54,,,,,20,
C3,,,,,39.703125,-121.320312,892,,,,,33,47,,,,,20,
C5,,,,,39.703125,-121.148438,1326,,,,,28,83,,,,,20,
